,name,total_time,n_calls,avg_time,category
57,run_training_epoch,254.66516,1,254.66516,run_training_epoch
50,run_training_batch,237.03488,200,1.18517,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02976,200,0.00015,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.88975,22,0.04044,_EvaluationLoop
17,[Strategy]DDPGroupStrategy.batch_to_device,0.80332,222,0.00362,Strategy
45,[Strategy]DDPGroupStrategy.backward,152.89945,200,0.7645,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,7.90065,22,0.35912,Strategy
37,[Strategy]DDPGroupStrategy.training_step,67.5085,200,0.33754,Strategy
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.03406,222,0.00015,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.003,2,0.0015,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.25368,200,0.00127,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.12829,200,0.00064,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,236.76845,200,1.18384,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00079,1,0.00079,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00566,200,3e-05,LightningModule
54,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,3,0.0,LightningDataModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00055,1,0.00055,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.26825,1,0.26825,LightningDataModule
0,*Callback_AnemoiCheckpoint,13.4476,2530,8.20463,*Callback_AnemoiCheckpoint
