,name,total_time,n_calls,avg_time,category
54,run_training_epoch,207.34292,1,207.34292,run_training_epoch
50,run_training_batch,205.45376,200,1.02727,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.04398,200,0.00022,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,1.51229,6,0.25205,_EvaluationLoop
37,[Strategy]DDPGroupStrategy.training_step,55.21904,200,0.2761,Strategy
45,[Strategy]DDPGroupStrategy.backward,147.30646,200,0.73653,Strategy
17,[Strategy]DDPGroupStrategy.batch_to_device,1.26525,206,0.00614,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,3.5044,6,0.58407,Strategy
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.26987,200,0.00135,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,205.10049,200,1.0255,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.14585,200,0.00073,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00646,200,3e-05,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.11419,206,0.00055,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00356,1,0.00356,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00077,1,0.00077,LightningModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
57,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,2e-05,4,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00128,1,0.00128,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.29899,1,0.29899,LightningDataModule
0,*Callback_AnemoiCheckpoint,18.47561,2460,18.18749,*Callback_AnemoiCheckpoint
