,name,total_time,n_calls,avg_time,category
54,run_training_epoch,208.94665,1,208.94665,run_training_epoch
50,run_training_batch,207.23789,200,1.03619,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02937,200,0.00015,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.68533,6,0.11422,_EvaluationLoop
37,[Strategy]DDPGroupStrategy.training_step,55.79849,200,0.27899,Strategy
45,[Strategy]DDPGroupStrategy.backward,148.4681,200,0.74234,Strategy
17,[Strategy]DDPGroupStrategy.batch_to_device,1.05122,206,0.0051,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,2.57063,6,0.42844,Strategy
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.26332,200,0.00132,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,206.94497,200,1.03472,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.13338,200,0.00067,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00513,200,3e-05,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.03455,206,0.00017,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00249,1,0.00249,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00079,1,0.00079,LightningModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
57,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,4,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00052,1,0.00052,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.26622,1,0.26622,LightningDataModule
0,*Callback_AnemoiCheckpoint,19.90686,2460,19.68245,*Callback_AnemoiCheckpoint
