,name,total_time,n_calls,avg_time,category
54,run_training_epoch,215.00147,1,215.00147,run_training_epoch
50,run_training_batch,213.33819,200,1.06669,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02739,200,0.00014,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.88074,6,0.14679,_EvaluationLoop
37,[Strategy]DDPGroupStrategy.training_step,56.47931,200,0.2824,Strategy
45,[Strategy]DDPGroupStrategy.backward,150.86668,200,0.75433,Strategy
17,[Strategy]DDPGroupStrategy.batch_to_device,1.02928,206,0.005,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,2.57246,6,0.42874,Strategy
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.2535,200,0.00127,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,213.0357,200,1.06518,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.123,200,0.00061,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00447,200,2e-05,LightningModule
3,[LightningModule]GraphForecaster.setup,3e-05,1,3e-05,LightningModule
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.05551,206,0.00027,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00151,1,0.00151,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.0008,1,0.0008,LightningModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
57,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,4,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00065,1,0.00065,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.27966,1,0.27966,LightningDataModule
0,*Callback_AnemoiCheckpoint,17.78053,2460,17.55981,*Callback_AnemoiCheckpoint
