,name,total_time,n_calls,avg_time,category
52,run_training_epoch,34.92516,1,34.92516,run_training_epoch
45,run_training_batch,27.1013,24,1.12922,run_training_batch
27,[_TrainingEpochLoop].train_dataloader_next,0.00291,24,0.00012,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,1.29336,1,1.29336,_EvaluationLoop
32,[Strategy]DDPGroupStrategy.training_step,10.0165,24,0.41735,Strategy
40,[Strategy]DDPGroupStrategy.backward,15.22309,24,0.6343,Strategy
29,[Strategy]DDPGroupStrategy.batch_to_device,0.06858,24,0.00286,Strategy
35,[LightningModule]GraphForecaster.optimizer_zero_grad,0.01303,24,0.00054,LightningModule
44,[LightningModule]GraphForecaster.optimizer_step,27.08792,24,1.12866,LightningModule
43,[LightningModule]GraphForecaster.configure_gradient_clipping,0.02381,24,0.00099,LightningModule
28,[LightningModule]GraphForecaster.transfer_batch_to_device,0.00827,24,0.00034,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00222,2,0.00111,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.0008,1,0.0008,LightningModule
46,[LightningModule]GraphForecaster.lr_scheduler_step,0.0004,24,2e-05,LightningModule
49,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,3,0.0,LightningDataModule
59,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
22,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00069,1,0.00069,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.44464,1,0.44464,LightningDataModule
0,*Callback_AnemoiCheckpoint,8.99289,330,5.15773,*Callback_AnemoiCheckpoint
