Generating SQLite file o96_10nodes_3463266_nsys_rank0.sqlite from o96_10nodes_3463266_nsys_rank0.nsys-rep
Processing [o96_10nodes_3463266_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)      StdDev (ns)    Style                Range             
 --------  ---------------  ---------  ---------------  ---------------  -------------  -------------  -------------  -------  -------------------------------
     58.2  219,633,902,624        200  1,098,169,513.1  1,045,311,696.0  1,015,495,360  2,244,377,536  175,877,946.4  PushPop  :step                          
     39.6  149,300,435,136        200    746,502,175.7    743,203,024.0    697,125,056    990,724,288   21,263,738.1  PushPop  :backward                      
      1.6    6,219,395,360        200     31,096,976.8     12,163,472.0      7,243,328    999,210,112   88,036,592.6  PushPop  :optimizer                     
      0.3    1,023,363,200          3    341,121,066.7    437,971,808.0     93,613,408    491,777,984  216,029,643.7  PushPop  NCCL:ncclCommDestroy           
      0.1      304,122,176      4,088         74,393.9         60,848.0          6,336     11,168,768      231,984.4  PushPop  CCCL:cub::DeviceRadixSort      
      0.1      263,607,680      6,381         41,311.3         30,496.0         18,240     36,314,048      456,224.5  PushPop  NCCL:ncclAllReduce             
      0.0      120,249,632      5,868         20,492.4         18,368.0         10,400        117,632        7,525.8  PushPop  CCCL:cub::DeviceReduce::Sum    
      0.0       98,232,608      5,868         16,740.4         13,280.0          9,088      4,924,192       64,802.4  PushPop  CCCL:cub::DeviceSelect::Flagged
      0.0       50,610,368      1,422         35,591.0         27,424.0          1,792      5,200,960      137,867.1  PushPop  NCCL:ncclBroadcast             
      0.0       30,400,800      1,688         18,010.0         15,296.0          9,024      3,870,176       93,965.6  PushPop  CCCL:cub::DeviceSelect::Unique 
      0.0       27,003,168          2     13,501,584.0     13,501,584.0      1,020,096     25,983,072   17,651,489.6  PushPop  cuBLAS:cublasCreate_v2         
      0.0        1,330,496          3        443,498.7        452,544.0        403,904        474,048       35,936.2  PushPop  NCCL:ncclCommFinalize          
      0.0          572,512          1        572,512.0        572,512.0        572,512        572,512            0.0  PushPop  NCCL:ncclCommInitRankConfig    
      0.0           63,744          1         63,744.0         63,744.0         63,744         63,744            0.0  PushPop  NCCL:ncclAllGather             

Processing [o96_10nodes_3463266_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls     Avg (ns)         Med (ns)       Min (ns)      Max (ns)        StdDev (ns)              Name         
 --------  -----------------  ---------  ---------------  ---------------  ----------  ---------------  ----------------  ----------------------
     35.4  3,883,650,477,760        482  8,057,366,136.4  3,692,838,784.0      13,920  229,440,677,728  28,637,618,503.7  sem_wait              
     22.8  2,502,265,650,560      6,455    387,647,660.8    500,152,736.0       1,056  254,469,400,960   3,200,473,128.7  poll                  
     21.1  2,310,600,972,704      2,031  1,137,666,653.2     21,370,432.0      11,232  249,920,126,624  12,377,494,933.2  pthread_cond_wait     
     13.7  1,506,899,773,344      9,194    163,900,345.2    100,075,808.0       1,088  254,629,061,408   4,534,923,416.0  pthread_cond_timedwait
      2.3    257,120,006,144        431    596,566,139.5        621,568.0       1,824  255,374,078,944  12,300,742,195.0  epoll_wait            
      2.3    249,980,243,520         51  4,901,573,402.4    847,504,416.0      14,208   10,000,572,192   4,939,719,884.5  sem_timedwait         
      1.9    211,371,012,896        452    467,634,984.3         96,848.0       1,056    7,325,092,928   1,462,204,623.4  futex                 
      0.1      8,359,219,072     10,792        774,575.5        198,192.0       1,152    3,032,267,328      31,072,744.7  open64                
      0.1      6,930,227,616      6,377      1,086,753.6         37,984.0       1,024      433,195,584      12,089,238.9  ioctl                 
      0.1      6,394,722,592    118,839         53,810.0         53,920.0       4,960          153,568           2,499.9  usleep                
      0.0      5,167,032,960      1,859      2,779,469.0      2,053,984.0   2,018,912       10,062,240       2,290,736.0  nanosleep             
      0.0      2,654,557,984    303,987          8,732.5          1,760.0       1,504    1,492,579,584       2,768,379.6  accept                
      0.0      2,560,634,592      2,826        906,098.6          4,144.0       1,024      605,943,456      14,459,826.3  write                 
      0.0      1,909,731,200     22,669         84,244.2         16,096.0       1,024       17,189,632         216,434.4  read                  
      0.0      1,612,704,832     16,771         96,160.3          3,360.0       1,888       11,107,968         806,572.2  munmap                
      0.0      1,416,969,312          9    157,441,034.7    159,326,944.0       2,848      446,437,984     150,892,754.2  sendfile64            
      0.0      1,040,491,488        201      5,176,574.6        415,200.0      10,400      460,750,144      43,735,148.6  pthread_join          
      0.0        295,741,024        597        495,378.6        423,840.0       4,672        1,834,688         582,122.8  writev                
      0.0        266,844,480         24     11,118,520.0     10,997,088.0   6,997,856       17,291,520       2,892,779.1  fork                  
      0.0        233,717,952        475        492,037.8          7,136.0       1,024       76,682,720       4,666,569.8  pthread_mutex_lock    
      0.0        220,932,928        126      1,753,435.9         46,640.0       1,696       58,219,200       7,651,212.7  pthread_rwlock_wrlock 
      0.0         98,157,920        266        369,014.7        349,024.0     269,632          738,112          76,725.0  pthread_create        
      0.0         80,427,552          8     10,053,444.0     10,055,728.0  10,035,744       10,057,216           7,190.1  clock_nanosleep       
