,name,total_time,n_calls,avg_time,category
54,run_training_epoch,210.69797,1,210.69797,run_training_epoch
50,run_training_batch,209.12639,200,1.04563,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02796,200,0.00014,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.64861,6,0.1081,_EvaluationLoop
37,[Strategy]DDPGroupStrategy.training_step,57.49212,200,0.28746,Strategy
45,[Strategy]DDPGroupStrategy.backward,149.25063,200,0.74625,Strategy
17,[Strategy]DDPGroupStrategy.batch_to_device,0.91771,206,0.00445,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,2.63715,6,0.43952,Strategy
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.23976,200,0.0012,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,208.85504,200,1.04428,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.12609,200,0.00063,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00466,200,2e-05,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.06029,206,0.00029,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00189,1,0.00189,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.0008,1,0.0008,LightningModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
57,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,4,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00052,1,0.00052,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.27145,1,0.27145,LightningDataModule
0,*Callback_AnemoiCheckpoint,16.97092,2460,16.72752,*Callback_AnemoiCheckpoint
