,name,total_time,n_calls,avg_time,category
57,run_training_epoch,236.38084,1,236.38084,run_training_epoch
50,run_training_batch,219.58619,200,1.09793,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02632,200,0.00013,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,1.08989,22,0.04954,_EvaluationLoop
17,[Strategy]DDPGroupStrategy.batch_to_device,0.59076,222,0.00266,Strategy
45,[Strategy]DDPGroupStrategy.backward,149.33886,200,0.74669,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,11.66617,22,0.53028,Strategy
37,[Strategy]DDPGroupStrategy.training_step,62.94462,200,0.31472,Strategy
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.032,222,0.00014,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00218,2,0.00109,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.2165,200,0.00108,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.13234,200,0.00066,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,219.36703,200,1.09684,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00078,1,0.00078,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00389,200,2e-05,LightningModule
54,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,3,0.0,LightningDataModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00052,1,0.00052,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.27151,1,0.27151,LightningDataModule
0,*Callback_AnemoiCheckpoint,8.55162,2530,4.82829,*Callback_AnemoiCheckpoint
