Generating SQLite file o96_25nodes_3470862_nsys_rank0.sqlite from o96_25nodes_3470862_nsys_rank0.nsys-rep
Processing [o96_25nodes_3470862_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)      StdDev (ns)    Style                Range             
 --------  ---------------  ---------  ---------------  ---------------  -------------  -------------  -------------  -------  -------------------------------
     58.0   89,091,969,888         80  1,113,649,623.6  1,076,489,968.0  1,034,825,312  1,555,431,552  114,304,929.2  PushPop  :step                          
     39.8   61,246,030,592         80    765,575,382.4    764,898,160.0    741,340,960    837,233,120   17,612,388.3  PushPop  :backward                      
      1.4    2,208,210,560         80     27,602,632.0      9,572,160.0      5,912,352    393,808,128   61,243,933.1  PushPop  :optimizer                     
      0.5      785,879,968          3    261,959,989.3    259,193,440.0    211,755,808    314,930,720   51,643,063.1  PushPop  NCCL:ncclCommDestroy           
      0.1      144,467,680      1,656         87,238.9         52,544.0          5,600     25,523,968      668,969.5  PushPop  CCCL:cub::DeviceRadixSort      
      0.1       97,822,656      2,645         36,984.0         29,472.0         18,816      2,272,384       70,922.5  PushPop  NCCL:ncclAllReduce             
      0.0       45,253,952      2,412         18,762.0         16,704.0         11,520        413,184       15,847.4  PushPop  CCCL:cub::DeviceReduce::Sum    
      0.0       35,701,888      2,412         14,801.8         12,128.0          9,216        540,896       20,526.2  PushPop  CCCL:cub::DeviceSelect::Flagged
      0.0       30,919,264          2     15,459,632.0     15,459,632.0      1,255,072     29,664,192   20,088,281.4  PushPop  cuBLAS:cublasCreate_v2         
      0.0       22,925,152        582         39,390.3         25,216.0          1,824      6,063,904      250,756.2  PushPop  NCCL:ncclBroadcast             
      0.0       18,918,016        696         27,181.1         11,920.0          9,056     10,029,888      379,717.7  PushPop  CCCL:cub::DeviceSelect::Unique 
      0.0        1,443,936          3        481,312.0        478,048.0        469,152        496,736       14,078.7  PushPop  NCCL:ncclCommFinalize          
      0.0          584,160          1        584,160.0        584,160.0        584,160        584,160            0.0  PushPop  NCCL:ncclCommInitRankConfig    
      0.0           81,280          1         81,280.0         81,280.0         81,280         81,280            0.0  PushPop  NCCL:ncclAllGather             

Processing [o96_25nodes_3470862_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls     Avg (ns)        Med (ns)      Min (ns)      Max (ns)        StdDev (ns)              Name         
 --------  -----------------  ---------  ---------------  -------------  ----------  ---------------  ----------------  ----------------------
     28.9  1,659,370,131,904        362  4,583,895,392.0    8,368,096.0      13,024   94,451,417,632  14,051,040,355.6  sem_wait              
     24.0  1,378,424,976,480      1,025  1,344,804,855.1   14,146,208.0       2,784  111,394,931,936   8,212,508,088.3  pthread_cond_wait     
     22.1  1,268,090,771,360     19,540     64,897,173.6       14,336.0       1,024  115,186,721,024     854,263,199.4  poll                  
     11.7    671,006,863,232      5,352    125,374,974.4  100,058,848.0       1,024  115,328,125,024   2,645,658,956.9  pthread_cond_timedwait
      4.7    267,544,348,480     30,316      8,825,186.3      792,160.0       1,088  115,718,543,232     664,600,460.7  epoll_wait            
      3.4    193,362,020,416        974    198,523,634.9       35,056.0       1,120    6,072,777,312     845,190,610.4  futex                 
      2.7    154,569,488,480     16,567      9,329,962.5   10,054,272.0   2,047,744       10,093,920       2,295,451.4  nanosleep             
      1.9    107,721,995,936         57  1,889,859,577.8   20,497,280.0      12,032   10,000,464,672   3,838,961,670.5  sem_timedwait         
      0.1      8,269,647,456    153,670         53,814.3       53,952.0       5,280          185,248           2,876.1  usleep                
      0.1      7,231,937,664      6,309      1,146,289.1       40,096.0       1,024      878,154,592      14,720,110.6  ioctl                 
      0.1      6,064,520,576     10,792        561,945.9      183,072.0       1,088      531,582,976      10,512,761.4  open64                
      0.0      2,348,103,136    171,130         13,721.2        1,632.0       1,376    1,447,306,752       3,612,823.7  accept                
      0.0      2,100,629,952     23,146         90,755.6       18,752.0       1,024        8,752,704         172,429.5  read                  
      0.0      1,253,520,864          9    139,280,096.0   83,548,544.0       3,008      419,080,800     154,003,041.1  sendfile64            
      0.0        943,606,048     31,965         29,520.0        3,264.0       1,024      280,797,504       2,189,517.9  write                 
      0.0        937,739,328      5,800        161,679.2        1,152.0       1,024      928,523,008      12,192,093.4  fclose                
      0.0        909,652,288        442      2,058,036.9      402,080.0       9,120      289,288,256      19,518,045.9  pthread_join          
      0.0        505,074,464     16,668         30,302.0        3,296.0       1,824        9,623,296         341,407.9  munmap                
      0.0        409,969,312        597        686,715.8      710,880.0       4,704       13,876,224         973,211.8  writev                
      0.0        390,346,304        441        885,139.0        9,952.0       1,024       75,889,120       5,149,799.0  pthread_mutex_lock    
      0.0        348,814,272    111,259          3,135.2        3,072.0       1,024          111,264           1,057.6  send                  
      0.0        321,894,304     86,405          3,725.4        2,112.0       1,024        1,654,496           7,433.1  recv                  
      0.0        228,812,096         24      9,533,837.3    9,805,072.0   6,494,528       13,274,592       2,092,667.6  fork                  
      0.0        181,319,712        506        358,339.4      348,368.0     278,496        1,306,656          77,118.8  pthread_create        
      0.0         80,450,400          8     10,056,300.0   10,056,160.0  10,053,632       10,058,688           1,949.7  clock_nanosleep       
      0.0         71,058,976     16,788          4,232.7        2,944.0       1,824          109,856           3,810.7  mmap64                
      0.0         57,365,408         31      1,850,497.0       99,136.0      14,848       14,270,912       3,260,466.4  pthread_rwlock_wrlock 
      0.0         17,619,840      1,218         14,466.2       14,048.0       1,568           40,256           4,602.3  open                  
      0.0         12,255,168      2,869          4,271.6        3,072.0       1,024           96,096           4,723.2  pthread_cond_signal   
      0.0         11,909,536        248         48,022.3       45,680.0      11,104          126,560          22,739.9  connect               
      0.0         10,928,864        461         23,706.9        6,720.0       1,408        2,101,792         156,175.5  fopen                 
      0.0          9,454,752         21        450,226.3       21,824.0       2,496        5,855,456       1,279,433.3  fopen64               
      0.0          6,257,312        222         28,186.1        8,224.0       1,024        1,386,560          94,725.3  recvmsg               
      0.0          6,107,840         59        103,522.7       21,984.0       1,056        2,373,952         374,199.8  waitpid               
      0.0          5,293,696        241         21,965.5       16,128.0       1,728          322,048          38,227.6  mmap                  
      0.0          5,260,480      1,499          3,509.3        2,464.0       1,024          798,656          22,847.2  fgets                 
      0.0          2,828,736        314          9,008.7        4,896.0       1,984           39,136           7,923.6  socket                
      0.0          1,683,552         12        140,296.0        5,824.0       3,680        1,614,528         464,268.0  backtrace             
      0.0          1,533,824        296          5,181.8        3,520.0       1,312           42,432           4,994.2  shutdown              
      0.0          1,222,816        242          5,053.0        2,880.0       1,536           35,456           5,610.0  fread                 
      0.0          1,197,856          2        598,928.0      598,928.0     513,856          684,000         120,310.0  posix_spawn           
      0.0          1,085,728         35         31,020.8       27,104.0       1,728           70,400          17,970.2  pthread_rwlock_rdlock 
      0.0            625,984        169          3,704.0        2,976.0       1,824           14,528           1,965.2  accept4               
      0.0            593,568         95          6,248.1        5,248.0       2,016           27,584           4,363.3  pipe2                 
      0.0            513,056        222          2,311.1        1,696.0       1,024           27,744           2,862.2  epoll_ctl             
      0.0            201,152          3         67,050.7       69,760.0      60,768           70,624           5,458.1  fallocate             
      0.0            194,848         52          3,747.1        3,680.0       1,984            6,432           1,222.5  sendmsg               
      0.0            167,008        100          1,670.1        1,280.0       1,024           10,720           1,137.5  fcntl                 
      0.0            146,272         46          3,179.8        1,760.0       1,088           20,448           3,722.8  bind                  
