,name,total_time,n_calls,avg_time,category
36,run_training_epoch,31.81279,1,31.81279,run_training_epoch
33,run_training_batch,31.63902,20,1.58195,run_training_batch
22,[_TrainingEpochLoop].train_dataloader_next,0.00253,20,0.00013,_TrainingEpochLoop
10,[_EvaluationLoop].val_next,0.56377,6,0.09396,_EvaluationLoop
24,[Strategy]DDPGroupStrategy.training_step,9.57443,20,0.47872,Strategy
29,[Strategy]DDPGroupStrategy.backward,15.69106,20,0.78455,Strategy
12,[Strategy]DDPGroupStrategy.batch_to_device,0.05703,26,0.00219,Strategy
14,[Strategy]DDPGroupStrategy.validation_step,0.78206,6,0.13034,Strategy
26,[LightningModule]GraphForecaster.optimizer_zero_grad,0.01335,20,0.00067,LightningModule
32,[LightningModule]GraphForecaster.optimizer_step,31.62939,20,1.58147,LightningModule
31,[LightningModule]GraphForecaster.configure_gradient_clipping,0.01913,20,0.00096,LightningModule
34,[LightningModule]GraphForecaster.lr_scheduler_step,0.00045,20,2e-05,LightningModule
2,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
11,[LightningModule]GraphForecaster.transfer_batch_to_device,0.00626,26,0.00024,LightningModule
7,[LightningModule]GraphForecaster.on_validation_model_eval,0.00207,1,0.00207,LightningModule
3,[LightningModule]GraphForecaster.configure_optimizers,0.00082,1,0.00082,LightningModule
42,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
37,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
19,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.0005,1,0.0005,LightningDataModule
6,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.3942,1,0.3942,LightningDataModule
0,*Callback_ModelCheckpoint,2.03278,147,2.03237,*Callback_ModelCheckpoint
