,name,total_time,n_calls,avg_time,category
36,run_training_epoch,123.86178,1,123.86178,run_training_epoch
33,run_training_batch,122.9243,100,1.22924,run_training_batch
22,[_TrainingEpochLoop].train_dataloader_next,0.33206,100,0.00332,_TrainingEpochLoop
10,[_EvaluationLoop].val_next,0.59229,6,0.09871,_EvaluationLoop
24,[Strategy]DDPGroupStrategy.training_step,34.70902,100,0.34709,Strategy
29,[Strategy]DDPGroupStrategy.backward,76.61442,100,0.76614,Strategy
12,[Strategy]DDPGroupStrategy.batch_to_device,0.22381,106,0.00211,Strategy
14,[Strategy]DDPGroupStrategy.validation_step,2.35746,6,0.39291,Strategy
26,[LightningModule]GraphForecaster.optimizer_zero_grad,0.07483,100,0.00075,LightningModule
32,[LightningModule]GraphForecaster.optimizer_step,122.86774,100,1.22868,LightningModule
31,[LightningModule]GraphForecaster.configure_gradient_clipping,0.05048,100,0.0005,LightningModule
34,[LightningModule]GraphForecaster.lr_scheduler_step,0.00181,100,2e-05,LightningModule
2,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
11,[LightningModule]GraphForecaster.transfer_batch_to_device,0.01333,106,0.00013,LightningModule
7,[LightningModule]GraphForecaster.on_validation_model_eval,0.00255,1,0.00255,LightningModule
3,[LightningModule]GraphForecaster.configure_optimizers,0.00079,1,0.00079,LightningModule
42,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
37,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
19,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00044,1,0.00044,LightningDataModule
6,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.26962,1,0.26962,LightningDataModule
0,*Callback_ModelCheckpoint,2.63919,627,2.63722,*Callback_ModelCheckpoint
