,name,total_time,n_calls,avg_time,category
36,run_training_epoch,1023.19031,1,1023.19031,run_training_epoch
33,run_training_batch,1013.04536,1000,1.01305,run_training_batch
22,[_TrainingEpochLoop].train_dataloader_next,1.28209,1000,0.00128,_TrainingEpochLoop
10,[_EvaluationLoop].val_next,0.68526,6,0.11421,_EvaluationLoop
24,[Strategy]DDPGroupStrategy.training_step,273.20654,1000,0.27321,Strategy
29,[Strategy]DDPGroupStrategy.backward,729.88735,1000,0.72989,Strategy
12,[Strategy]DDPGroupStrategy.batch_to_device,5.48052,1006,0.00545,Strategy
14,[Strategy]DDPGroupStrategy.validation_step,3.01691,6,0.50282,Strategy
26,[LightningModule]GraphForecaster.optimizer_zero_grad,1.30139,1000,0.0013,LightningModule
32,[LightningModule]GraphForecaster.optimizer_step,1012.12871,1000,1.01213,LightningModule
31,[LightningModule]GraphForecaster.configure_gradient_clipping,0.54871,1000,0.00055,LightningModule
34,[LightningModule]GraphForecaster.lr_scheduler_step,0.02566,1000,3e-05,LightningModule
2,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
11,[LightningModule]GraphForecaster.transfer_batch_to_device,0.1367,1006,0.00014,LightningModule
7,[LightningModule]GraphForecaster.on_validation_model_eval,0.00197,1,0.00197,LightningModule
3,[LightningModule]GraphForecaster.configure_optimizers,0.00079,1,0.00079,LightningModule
42,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
37,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
19,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00051,1,0.00051,LightningDataModule
6,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.2666,1,0.2666,LightningDataModule
0,*Callback_ModelCheckpoint,2.56429,6027,2.53791,*Callback_ModelCheckpoint
