,name,total_time,n_calls,avg_time,category
57,run_training_epoch,253.12855,1,253.12855,run_training_epoch
50,run_training_batch,239.49518,200,1.19748,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02598,200,0.00013,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,1.131,22,0.05141,_EvaluationLoop
17,[Strategy]DDPGroupStrategy.batch_to_device,0.531,222,0.00239,Strategy
45,[Strategy]DDPGroupStrategy.backward,149.4473,200,0.74724,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,6.30648,22,0.28666,Strategy
37,[Strategy]DDPGroupStrategy.training_step,63.41389,200,0.31707,Strategy
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.03518,222,0.00016,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00288,2,0.00144,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.13913,200,0.0007,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.1447,200,0.00072,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,239.33651,200,1.19668,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00079,1,0.00079,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00326,200,2e-05,LightningModule
54,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,3,0.0,LightningDataModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00056,1,0.00056,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,1.26694,1,1.26694,LightningDataModule
0,*Callback_AnemoiCheckpoint,8.87269,2530,5.2179,*Callback_AnemoiCheckpoint
