Generating SQLite file o96_1gpu_3321898_nsys_rank0.sqlite from o96_1gpu_3321898_nsys_rank0.nsys-rep
Processing [o96_1gpu_3321898_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)      Max (ns)     StdDev (ns)    Style                Range             
 --------  ---------------  ---------  -------------  -------------  -----------  -------------  ------------  -------  -------------------------------
     57.4  196,031,588,032        200  980,157,940.2  977,033,024.0  966,056,704  1,189,327,872  22,280,164.9  PushPop  :step                          
     41.6  142,125,345,280        200  710,626,726.4  708,891,184.0  701,582,176    921,900,480  17,036,478.5  PushPop  :backward                      
      0.4    1,320,067,136        200    6,600,335.7    6,323,344.0    5,372,960     62,685,952   3,992,289.4  PushPop  :optimizer                     
      0.4    1,220,390,368          3  406,796,789.3  403,502,144.0  391,861,312    425,026,912  16,826,475.3  PushPop  NCCL:ncclCommDestroy           
      0.1      286,617,792      4,024       71,227.1       52,960.0        5,536     20,638,304     362,603.4  PushPop  CCCL:cub::DeviceRadixSort      
      0.0      110,137,504      5,676       19,404.1       17,888.0       11,488        117,664       6,933.5  PushPop  CCCL:cub::DeviceReduce::Sum    
      0.0       95,155,872      5,676       16,764.6       12,384.0        9,792      1,128,992      21,948.9  PushPop  CCCL:cub::DeviceSelect::Flagged
      0.0       33,036,768          2   16,518,384.0   16,518,384.0    1,951,808     31,084,960  20,600,249.3  PushPop  cuBLAS:cublasCreate_v2         
      0.0       24,178,560      1,624       14,888.3       12,592.0        9,152      2,584,832      63,988.4  PushPop  CCCL:cub::DeviceSelect::Unique 
      0.0       20,399,008      6,263        3,257.1        2,208.0        1,312        309,152       5,295.1  PushPop  NCCL:ncclAllReduce             
      0.0        2,358,624      1,218        1,936.5        1,696.0        1,120         27,456       1,272.5  PushPop  NCCL:ncclBroadcast             
      0.0        1,207,968          3      402,656.0      408,192.0      387,680        412,096      13,115.7  PushPop  NCCL:ncclCommFinalize          
      0.0          573,024          1      573,024.0      573,024.0      573,024        573,024           0.0  PushPop  NCCL:ncclCommInitRankConfig    
      0.0           31,744          1       31,744.0       31,744.0       31,744         31,744           0.0  PushPop  NCCL:ncclAllGather             

Processing [o96_1gpu_3321898_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls      Avg (ns)         Med (ns)       Min (ns)      Max (ns)        StdDev (ns)              Name         
 --------  -----------------  ---------  ----------------  ---------------  ----------  ---------------  ----------------  ----------------------
     39.2  3,384,104,867,808        434   7,797,476,653.9  2,458,061,920.0      11,168  212,405,476,416  28,165,980,510.1  sem_wait              
     22.3  1,928,488,639,008      5,231     368,665,386.9    500,529,056.0       1,088    5,005,264,032     498,054,862.0  poll                  
     16.0  1,378,963,336,928        504   2,736,038,366.9    305,997,872.0       2,496  214,293,054,336  16,812,636,546.5  pthread_cond_wait     
     14.9  1,284,303,356,320      8,545     150,298,812.9    100,062,976.0       1,056  214,612,360,768   4,007,079,106.8  pthread_cond_timedwait
      2.5    215,533,148,704         47   4,585,811,674.6    673,448,192.0      13,568   10,055,880,288   4,939,345,411.2  sem_timedwait         
      2.5    215,184,502,688          6  35,864,083,781.3        751,136.0      12,768  215,124,713,792  87,819,417,952.6  epoll_wait            
      2.4    207,788,337,760        375     554,102,234.0        280,032.0       1,024    6,567,136,672   1,527,698,778.5  futex                 
      0.1      9,165,257,760     10,753         852,344.3        195,456.0       1,120    2,915,969,280      31,184,703.1  open64                
      0.0      2,192,505,280     23,017          95,255.9         13,664.0       1,024        9,481,728         182,865.7  read                  
      0.0      2,048,795,552      6,139         333,734.4         26,112.0       1,024      108,803,424       2,206,800.7  ioctl                 
      0.0      1,733,378,016         12     144,448,168.0    145,457,360.0       2,720      422,395,712     135,730,639.8  sendfile64            
      0.0      1,209,244,928         48      25,192,602.7        114,336.0      11,104      415,246,112      97,104,119.2  pthread_join          
      0.0        972,649,632      2,135         455,573.6          4,288.0       1,024      187,146,528       8,043,517.7  write                 
      0.0        892,401,440     16,745          53,293.6          3,744.0       2,400        4,135,008         402,596.4  munmap                
      0.0        589,810,816     10,936          53,933.0         53,984.0       5,280          531,040           5,610.2  usleep                
      0.0        521,057,856        252       2,067,689.9      2,054,496.0   2,048,192        5,064,128         189,852.2  nanosleep             
      0.0        427,408,192        793         538,976.3        417,600.0       4,544       11,166,848         939,772.3  writev                
      0.0        338,444,224        271       1,248,871.7          9,120.0       1,024      105,396,064       7,593,372.8  pthread_mutex_lock    
      0.0        186,943,328         24       7,789,305.3      7,497,360.0   6,207,424       12,030,496       1,589,788.2  fork                  
      0.0        184,151,968         98       1,879,101.7         43,792.0       2,272       23,602,720       5,339,335.6  pthread_rwlock_wrlock 
      0.0        146,674,240         99       1,481,558.0          2,080.0       1,824      146,404,384      14,713,917.6  accept                
      0.0         85,169,056         95         896,516.4          6,272.0       1,856       49,719,200       6,193,359.8  pipe2                 
      0.0         80,457,088          8      10,057,136.0     10,056,272.0  10,055,648       10,064,256           2,907.3  clock_nanosleep       
      0.0         78,284,544     16,918           4,627.3          3,200.0       1,728          104,320           4,131.2  mmap64                
