,name,total_time,n_calls,avg_time,category
57,run_training_epoch,75.17839,1,75.17839,run_training_epoch
50,run_training_batch,64.58864,40,1.61472,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.00811,40,0.0002,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.0952,14,0.0068,_EvaluationLoop
17,[Strategy]DDPGroupStrategy.batch_to_device,0.16793,54,0.00311,Strategy
45,[Strategy]DDPGroupStrategy.backward,31.22873,40,0.78072,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,4.06421,14,0.2903,Strategy
37,[Strategy]DDPGroupStrategy.training_step,21.98703,40,0.54968,Strategy
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.01019,54,0.00019,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.0032,2,0.0016,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.03178,40,0.00079,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.03386,40,0.00085,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,64.55513,40,1.61388,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00081,1,0.00081,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00076,40,2e-05,LightningModule
54,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,3,0.0,LightningDataModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00056,1,0.00056,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.26588,1,0.26588,LightningDataModule
0,*Callback_AnemoiCheckpoint,11.74649,578,7.18244,*Callback_AnemoiCheckpoint
