,name,total_time,n_calls,avg_time,category
57,run_training_epoch,62.57815,1,62.57815,run_training_epoch
50,run_training_batch,51.4509,40,1.28627,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.00529,40,0.00013,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.29439,14,0.02103,_EvaluationLoop
17,[Strategy]DDPGroupStrategy.batch_to_device,0.12443,54,0.0023,Strategy
45,[Strategy]DDPGroupStrategy.backward,30.03038,40,0.75076,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,3.87333,14,0.27667,Strategy
37,[Strategy]DDPGroupStrategy.training_step,16.31514,40,0.40788,Strategy
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.01075,54,0.0002,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00229,2,0.00115,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.03774,40,0.00094,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.02763,40,0.00069,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,51.40769,40,1.28519,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00079,1,0.00079,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00091,40,2e-05,LightningModule
54,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,3,0.0,LightningDataModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00086,1,0.00086,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.41573,1,0.41573,LightningDataModule
0,*Callback_AnemoiCheckpoint,11.23842,578,6.22203,*Callback_AnemoiCheckpoint
