Generating SQLite file o96_100nodes_3395209_nsys_rank0.sqlite from o96_100nodes_3395209_nsys_rank0.nsys-rep
Processing [o96_100nodes_3395209_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)       Min (ns)      Max (ns)      StdDev (ns)    Style                Range             
 --------  ---------------  ---------  ---------------  ---------------  -----------  -------------  -------------  -------  -------------------------------
     60.8   27,106,202,208         24  1,129,425,092.0  1,141,342,944.0  562,779,456  2,806,869,792  470,103,076.5  PushPop  :step                          
     34.1   15,219,248,928         24    634,135,372.0    738,401,728.0  384,887,424    823,462,720  169,442,252.9  PushPop  :backward                      
      3.8    1,708,640,576         24     71,193,357.3     33,622,640.0    7,698,304    338,098,368   85,873,885.6  PushPop  :optimizer                     
      0.9      381,233,600          3    127,077,866.7    141,897,984.0   43,825,888    195,509,728   76,920,242.7  PushPop  NCCL:ncclCommDestroy           
      0.1       55,576,096        480        115,783.5         43,056.0        5,728     20,886,048    1,018,052.2  PushPop  CCCL:cub::DeviceRadixSort      
      0.1       49,909,216          2     24,954,608.0     24,954,608.0      965,600     48,943,616   33,925,580.5  PushPop  cuBLAS:cublasCreate_v2         
      0.1       25,263,520        192        131,580.8         10,672.0        9,056     23,087,648    1,665,387.1  PushPop  CCCL:cub::DeviceSelect::Unique 
      0.1       24,729,760        705         35,077.7         28,416.0       23,264      2,529,088       94,574.7  PushPop  NCCL:ncclAllReduce             
      0.0       12,345,760        676         18,263.0         16,928.0       11,776         67,680        5,694.3  PushPop  CCCL:cub::DeviceReduce::Sum    
      0.0       11,851,264        186         63,716.5         25,920.0        1,728      6,278,528      458,534.3  PushPop  NCCL:ncclBroadcast             
      0.0        9,290,912        676         13,744.0         12,032.0        9,792        261,216       10,606.2  PushPop  CCCL:cub::DeviceSelect::Flagged
      0.0        1,216,992          3        405,664.0        407,936.0      377,408        431,648       27,191.3  PushPop  NCCL:ncclCommFinalize          
      0.0          680,096          1        680,096.0        680,096.0      680,096        680,096            0.0  PushPop  NCCL:ncclCommInitRankConfig    
      0.0          550,240          1        550,240.0        550,240.0      550,240        550,240            0.0  PushPop  NCCL:ncclAllGather             

Processing [o96_100nodes_3395209_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls     Avg (ns)        Med (ns)      Min (ns)      Max (ns)       StdDev (ns)             Name         
 --------  -----------------  ---------  ---------------  -------------  ----------  --------------  ---------------  ----------------------
     30.7  1,154,108,373,952        299  3,859,894,227.3   19,063,072.0       1,952  82,903,012,928  9,976,609,530.3  pthread_cond_wait     
     20.5    769,027,008,928      3,529    217,916,409.4  100,112,736.0       1,024  87,607,005,568  1,513,530,967.8  poll                  
     19.5    734,260,309,952        290  2,531,932,103.3    2,422,384.0      11,904  37,061,879,232  6,371,721,764.0  sem_wait              
     12.5    470,781,116,768      3,239    145,347,674.2  100,059,744.0       1,088  87,941,971,648  2,403,711,535.2  pthread_cond_timedwait
     10.2    381,480,769,088        587    649,882,059.8       74,400.0       1,024  10,930,450,624  2,272,573,811.4  futex                 
      2.6     99,114,447,392      3,276     30,254,715.3      689,856.0       1,024  87,947,366,720  1,536,518,671.1  epoll_wait            
      1.5     55,231,180,384         41  1,347,101,960.6   64,282,528.0      12,480  10,000,476,864  3,080,885,940.5  sem_timedwait         
      1.0     38,767,135,584    722,018         53,692.8       53,824.0       4,576         521,280          3,240.5  usleep                
      0.4     15,077,539,904      3,058      4,930,523.2    2,054,896.0      57,920      10,074,432      3,837,855.2  nanosleep             
      0.3     12,027,658,848      4,703      2,557,443.9        3,520.0       1,024   2,233,685,888     38,501,907.8  write                 
      0.2      6,701,183,968      6,138      1,091,753.7       44,048.0       1,024     443,700,608     12,513,532.9  ioctl                 
      0.1      4,346,070,176     10,793        402,674.9      194,048.0       1,056     666,017,856      8,633,055.8  open64                
      0.1      3,845,457,280  1,282,679          2,998.0        2,976.0       1,024       1,159,936          1,347.6  send                  
      0.1      3,525,706,688    457,061          7,713.9        1,984.0       1,312   1,559,168,896      2,343,586.1  accept                
      0.1      2,210,373,280  1,011,913          2,184.4        2,208.0       1,024       5,655,008          7,333.7  recv                  
      0.1      2,012,993,376     22,663         88,822.9       15,456.0       1,024      13,097,312        226,394.5  read                  
      0.0      1,562,747,936          9    173,638,659.6  145,416,480.0       2,400     395,016,480    170,405,844.9  sendfile64            
      0.0      1,112,173,664      1,645        676,093.4      477,728.0       8,512     177,597,184      5,291,890.9  pthread_join          
      0.0        580,189,280      1,706        340,087.5      328,560.0     278,496       3,931,136         94,989.4  pthread_create        
      0.0        338,312,704        597        566,687.9      443,040.0       4,640       6,839,776        782,407.3  writev                
      0.0        253,545,184         24     10,564,382.7   10,847,216.0   6,146,976      15,755,712      3,106,511.7  fork                  
      0.0        211,318,144        161      1,312,535.1       12,640.0       1,056      76,648,928      7,107,019.4  pthread_mutex_lock    
      0.0        162,993,664     16,563          9,840.8        3,232.0       1,888       5,148,192        147,212.5  munmap                
      0.0         80,454,816          8     10,056,852.0   10,055,616.0  10,054,336      10,060,640          2,516.6  clock_nanosleep       
      0.0         72,446,528     16,711          4,335.3        3,232.0       1,600          51,008          3,308.9  mmap64                
      0.0         37,423,136        467         80,135.2       62,688.0      10,560       1,384,928        102,579.2  connect               
      0.0         31,315,872         10      3,131,587.2    1,068,864.0       8,192      11,017,824      3,935,758.3  pthread_rwlock_wrlock 
      0.0         18,998,112        461         41,210.7        5,472.0       1,184      10,600,544        509,999.6  fopen                 
      0.0         16,371,168      1,218         13,441.0       13,264.0       1,952          98,336          5,121.8  open                  
      0.0         13,724,064      7,005          1,959.2        1,216.0       1,024       1,789,568         30,247.1  fclose                
      0.0         10,851,648          5      2,170,329.6       64,960.0      16,864      10,656,160      4,743,776.3  pthread_rwlock_rdlock 
      0.0          6,224,736         56        111,156.0       27,808.0       1,024       2,598,688        391,228.6  waitpid               
      0.0          6,206,496         21        295,547.4       22,624.0       2,368       1,258,496        410,093.1  fopen64               
      0.0          6,038,112      1,500          4,025.4        2,592.0       1,088         895,424         32,380.0  fgets                 
      0.0          4,704,864        211         22,297.9       15,616.0       1,632         345,984         37,589.0  mmap                  
      0.0          4,377,536      1,146          3,819.8        2,272.0       1,024         109,504          5,296.8  pthread_cond_signal   
      0.0          4,106,688        166         24,739.1        4,912.0       1,024       1,241,376        126,103.2  recvmsg               
      0.0          3,904,864        888          4,397.4        3,712.0       1,600          37,504          2,917.2  shutdown              
      0.0          3,069,472        533          5,758.9        4,448.0       1,920          34,400          4,807.9  socket                
      0.0          2,333,632        763          3,058.5        2,848.0       2,016          41,696          1,844.6  accept4               
      0.0          1,488,512        818          1,819.7        1,696.0       1,024          24,128          1,153.4  epoll_ctl             
      0.0          1,330,208        242          5,496.7        3,120.0       1,632          31,744          5,560.8  fread                 
      0.0          1,164,384          2        582,192.0      582,192.0     503,456         660,928        111,349.5  posix_spawn           
      0.0          1,094,656         12         91,221.3        6,352.0       3,936       1,007,136        288,490.9  backtrace             
      0.0            622,272         95          6,550.2        6,176.0       2,144          24,000          4,133.6  pipe2                 
      0.0            269,344         52          5,179.7        4,848.0       2,752          13,696          1,831.1  sendmsg               
      0.0            221,504          3         73,834.7       74,624.0      71,584          75,296          1,977.9  fallocate             
      0.0            187,968         60          3,132.8        1,584.0       1,024          21,088          4,092.7  bind                  
      0.0             58,688         31          1,893.2        1,568.0       1,056           5,120          1,069.4  waitid                
      0.0             51,392         33          1,557.3        1,344.0       1,056           2,880            531.5  fcntl                 
      0.0             38,272         13          2,944.0        2,624.0       1,088           6,304          1,560.9  sigaction             
      0.0             31,808          2         15,904.0       15,904.0       8,288          23,520         10,770.7  stat                  
      0.0             24,672          9          2,741.3        2,368.0       1,152           4,320          1,404.5  listen                
