Generating SQLite file o96_1gpu_3462305_nsys_rank0.sqlite from o96_1gpu_3462305_nsys_rank0.nsys-rep
Processing [o96_1gpu_3462305_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)      Max (ns)      StdDev (ns)    Style                Range             
 --------  ---------------  ---------  -------------  -------------  -----------  -------------  -------------  -------  -------------------------------
     57.5  196,420,440,320        200  982,102,201.6  979,834,000.0  968,835,744  1,150,606,560   19,047,718.6  PushPop  :step                          
     41.7  142,205,569,120        200  711,027,845.6  710,647,248.0  701,014,880    818,249,248    8,325,537.3  PushPop  :backward                      
      0.4    1,328,932,160        200    6,644,660.8    6,348,944.0    5,390,592     62,293,728    3,962,928.7  PushPop  :optimizer                     
      0.2      812,881,504          3  270,960,501.3  381,166,560.0   46,494,464    385,220,480  194,403,858.0  PushPop  NCCL:ncclCommDestroy           
      0.1      307,061,536      4,024       76,307.5       51,360.0        5,504     44,502,112      718,762.1  PushPop  CCCL:cub::DeviceRadixSort      
      0.0      108,883,424      5,676       19,183.1       17,600.0       11,680        162,368        7,112.1  PushPop  CCCL:cub::DeviceReduce::Sum    
      0.0       89,594,624      5,676       15,784.8       12,640.0        9,888      1,144,864       18,314.2  PushPop  CCCL:cub::DeviceSelect::Flagged
      0.0       48,488,864          2   24,244,432.0   24,244,432.0    1,870,016     46,618,848   31,642,202.6  PushPop  cuBLAS:cublasCreate_v2         
      0.0       24,395,328      1,624       15,021.8       12,544.0        8,992      3,068,288       75,947.8  PushPop  CCCL:cub::DeviceSelect::Unique 
      0.0       20,502,176      6,263        3,273.5        2,144.0        1,408        216,928        4,738.7  PushPop  NCCL:ncclAllReduce             
      0.0        2,317,440      1,218        1,902.7        1,728.0        1,184         26,336        1,307.8  PushPop  NCCL:ncclBroadcast             
      0.0        1,197,216          3      399,072.0      388,128.0      372,544        436,544       33,374.1  PushPop  NCCL:ncclCommFinalize          
      0.0          572,608          1      572,608.0      572,608.0      572,608        572,608            0.0  PushPop  NCCL:ncclCommInitRankConfig    
      0.0           30,592          1       30,592.0       30,592.0       30,592         30,592            0.0  PushPop  NCCL:ncclAllGather             

Processing [o96_1gpu_3462305_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls      Avg (ns)         Med (ns)       Min (ns)      Max (ns)        StdDev (ns)              Name         
 --------  -----------------  ---------  ----------------  ---------------  ----------  ---------------  ----------------  ----------------------
     39.8  3,394,721,054,784        435   7,803,956,447.8  2,235,737,120.0      13,152  212,997,084,256  28,233,223,774.4  sem_wait              
     22.6  1,926,924,992,512      5,201     370,491,250.2    500,529,600.0       1,024    5,005,288,224     497,853,612.7  poll                  
     15.5  1,321,102,354,176        500   2,642,204,708.4    408,405,056.0      12,576  214,282,792,192  16,797,088,431.1  pthread_cond_wait     
     15.0  1,284,805,280,992      8,339     154,071,864.9    100,059,680.0       1,024  214,580,606,272   4,058,397,659.5  pthread_cond_timedwait
      2.5    215,806,992,800         45   4,795,710,951.1    677,226,848.0      15,520   10,000,480,640   4,950,825,559.8  sem_timedwait         
      2.5    215,123,960,864          6  35,853,993,477.3        420,736.0      14,752  215,085,257,152  87,805,029,680.6  epoll_wait            
      1.9    163,549,016,736        445     367,525,880.3        140,416.0       1,024    6,598,965,024   1,260,999,630.6  futex                 
      0.1      5,220,813,984     10,751         485,611.9        181,856.0       1,024    1,968,431,776      20,264,579.0  open64                
      0.0      2,218,690,592     22,137         100,225.4         13,792.0       1,024        9,569,088         171,114.8  read                  
      0.0      1,883,437,600      5,972         315,378.0         23,168.0       1,024       25,574,592       1,767,366.9  ioctl                 
      0.0      1,568,165,088         12     130,680,424.0     95,962,944.0       1,888      420,483,456     134,956,485.3  sendfile64            
      0.0      1,034,910,688      2,146         482,251.0          4,704.0       1,024      200,396,640       8,529,139.4  write                 
      0.0        929,123,488     16,748          55,476.7          3,536.0       1,888        4,847,648         422,764.7  munmap                
      0.0        802,907,520         49      16,385,867.8         94,080.0       8,480      376,316,832      74,791,813.4  pthread_join          
      0.0        475,804,000      8,799          54,074.8         54,208.0       6,752           80,672           2,383.5  usleep                
      0.0        435,984,704        793         549,791.6        408,704.0       4,608       11,106,912         944,786.2  writev                
      0.0        375,689,600        253       1,484,939.1         12,256.0       1,024      106,979,232       8,001,414.7  pthread_mutex_lock    
      0.0        331,850,880        160       2,074,068.0      2,054,656.0   2,053,600        5,062,176         237,727.3  nanosleep             
      0.0        215,928,608         24       8,997,025.3      7,729,648.0   6,376,480       19,476,256       3,345,434.8  fork                  
      0.0        181,754,336         97       1,873,756.0         42,304.0       1,696       23,192,992       5,495,831.7  pthread_rwlock_wrlock 
      0.0        146,574,176         72       2,035,752.4          2,528.0       2,048      146,344,768      17,246,515.6  accept                
      0.0        110,683,648         95       1,165,091.0          5,856.0       2,592       59,336,128       7,959,898.8  pipe2                 
      0.0         80,404,352          8      10,050,544.0     10,055,952.0  10,010,624       10,057,152          16,146.0  clock_nanosleep       
