ERROR: Specified input file (o96_1node_3462325) does not exist.
ERROR: Specified input file (o96_1node_3462325) does not exist.
ERROR: Specified input file (o96_1node_3462325_nsys_rank) does not exist.
Generating SQLite file o96_1node_3462325_nsys_rank0.sqlite from o96_1node_3462325_nsys_rank0.nsys-rep
Processing [o96_1node_3462325_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)      StdDev (ns)    Style                Range             
 --------  ---------------  ---------  ---------------  ---------------  -------------  -------------  -------------  -------  -------------------------------
     57.5  206,035,670,560        200  1,030,178,352.8  1,021,533,136.0  1,003,556,544  1,460,665,024   56,841,499.5  PushPop  :step                          
     41.3  148,174,550,752        200    740,872,753.8    737,826,112.0    716,161,472  1,117,839,840   29,171,115.4  PushPop  :backward                      
      0.6    2,126,992,000        200     10,634,960.0      9,012,496.0      7,007,744    262,069,440   18,369,493.0  PushPop  :optimizer                     
      0.3    1,119,484,864          3    373,161,621.3    439,316,448.0    233,668,064    446,500,352  120,858,353.1  PushPop  NCCL:ncclCommDestroy           
      0.1      373,808,640      4,024         92,894.8         71,264.0          5,760     48,934,688      801,294.6  PushPop  CCCL:cub::DeviceRadixSort      
      0.1      243,956,768      6,263         38,952.1         35,584.0         17,312        199,584       11,154.1  PushPop  NCCL:ncclAllReduce             
      0.0      126,433,056      5,676         22,275.0         19,520.0         11,712        168,288        8,855.9  PushPop  CCCL:cub::DeviceReduce::Sum    
      0.0      100,865,024      5,676         17,770.4         14,336.0         10,048        952,992       16,985.2  PushPop  CCCL:cub::DeviceSelect::Flagged
      0.0       54,184,288      1,418         38,211.8         30,032.0          2,048      6,924,640      183,415.0  PushPop  NCCL:ncclBroadcast             
      0.0       53,709,280          2     26,854,640.0     26,854,640.0      1,615,104     52,094,176   35,694,094.1  PushPop  cuBLAS:cublasCreate_v2         
      0.0       32,642,176      1,624         20,099.9         18,688.0          9,536      2,177,024       53,922.1  PushPop  CCCL:cub::DeviceSelect::Unique 
      0.0        1,586,528          3        528,842.7        534,464.0        493,312        558,752       33,080.2  PushPop  NCCL:ncclCommFinalize          
      0.0          566,944          1        566,944.0        566,944.0        566,944        566,944            0.0  PushPop  NCCL:ncclCommInitRankConfig    
      0.0           43,456          1         43,456.0         43,456.0         43,456         43,456            0.0  PushPop  NCCL:ncclAllGather             

Processing [o96_1node_3462325_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls      Avg (ns)          Med (ns)       Min (ns)      Max (ns)        StdDev (ns)              Name         
 --------  -----------------  ---------  ----------------  ----------------  ----------  ---------------  ----------------  ----------------------
     36.3  3,696,094,247,040        438   8,438,571,340.3   2,105,949,312.0      11,904  231,612,675,968  30,619,789,974.6  sem_wait              
     22.1  2,244,432,184,192        549   4,088,218,914.7     298,431,648.0       4,448  233,870,224,960  24,180,748,174.3  pthread_cond_wait     
     20.6  2,098,485,236,768      5,970     351,505,064.8     500,346,880.0       1,024    5,005,269,408     494,950,442.4  poll                  
     13.8  1,406,070,453,664      8,839     159,075,738.6     100,079,232.0       1,056  237,327,275,424   4,313,348,215.0  pthread_cond_timedwait
      2.3    237,890,847,648          8  29,736,355,956.0          17,376.0       1,184  237,877,661,888  84,101,788,023.5  epoll_wait            
      2.3    235,274,293,408         41   5,738,397,400.2  10,000,406,336.0      13,120   10,000,491,616   4,893,587,033.2  sem_timedwait         
      2.1    216,587,423,584        398     544,189,506.5         116,144.0       1,024    7,920,510,880   1,622,354,214.5  futex                 
      0.1      8,911,578,400     10,866         820,134.2         180,320.0       1,632    2,663,430,048      34,256,192.0  open64                
      0.1      8,672,371,424      8,431       1,028,629.0          37,632.0       1,024      441,873,600      11,361,093.4  ioctl                 
      0.0      3,597,792,736     66,580          54,037.1          54,016.0       5,568          195,936           1,472.5  usleep                
      0.0      3,460,981,952      1,679       2,061,335.3       2,053,952.0   2,033,856        5,057,920         146,433.9  nanosleep             
      0.0      2,384,594,048         12     198,716,170.7     142,307,040.0       1,440      499,436,448     204,305,014.3  sendfile64            
      0.0      2,214,714,304    158,739          13,951.9           1,856.0       1,312    1,846,407,744       4,635,249.4  accept                
      0.0      2,102,927,648     23,344          90,084.3          18,048.0       1,024       13,407,488         199,732.9  read                  
      0.0      2,077,269,856      2,149         966,621.6           5,120.0       1,024      398,595,936      17,835,385.5  write                 
      0.0      1,806,269,504     16,755         107,804.8           2,656.0       1,792       16,572,608         876,103.4  munmap                
      0.0      1,151,418,976        266       4,328,642.8          13,056.0       1,024      129,288,608      17,688,366.9  pthread_mutex_lock    
      0.0      1,039,545,344         59      17,619,412.6         430,944.0       8,768      420,128,480      77,261,969.2  pthread_join          
      0.0        959,949,760        793       1,210,529.3         915,904.0       4,704       25,654,880       2,139,091.6  writev                
      0.0        947,219,840      6,646         142,524.8           1,312.0       1,024      935,763,296      11,478,508.9  fclose                
      0.0        238,911,712         24       9,954,654.7       9,192,976.0   6,885,952       16,558,880       2,756,333.0  fork                  
      0.0        227,948,448        117       1,948,277.3          55,328.0       1,760       32,622,912       5,891,967.6  pthread_rwlock_wrlock 
      0.0        161,301,920     16,931           9,527.0           3,168.0       1,792       55,106,784         474,437.8  mmap64                
      0.0         80,444,544          8      10,055,568.0      10,055,392.0  10,053,792       10,057,280           1,220.3  clock_nanosleep       
      0.0         54,695,168        122         448,321.0         410,064.0     326,464          954,176         110,840.0  pthread_create        
      0.0         43,944,576        482          91,171.3          16,544.0       2,144       36,894,208       1,679,849.1  socket                
      0.0         38,308,192        527          72,691.1           5,248.0       1,248       30,298,144       1,324,697.6  fopen                 
      0.0         19,022,240      1,218          15,617.6          15,456.0       1,760           30,496           4,635.9  open                  
      0.0         12,912,800      2,505           5,154.8           2,976.0       1,024          185,504           7,627.0  pthread_cond_signal   
      0.0         11,248,000        653          17,225.1           5,664.0       1,056        1,227,104          51,570.6  recvmsg               
      0.0         10,330,592        284          36,375.3          37,200.0       9,600           90,240          11,601.4  connect               
      0.0          9,117,760         21         434,179.0           8,768.0       3,104        4,812,928       1,066,519.5  fopen64               
      0.0          5,946,976        111          53,576.4           1,792.0       1,024        2,449,696         263,125.5  waitpid               
      0.0          5,583,616      1,885           2,962.1           2,368.0       1,152           32,928           2,504.9  send                  
      0.0          5,150,016        181          28,453.1          17,952.0       2,112          769,600          64,672.7  mmap                  
      0.0          4,899,168      1,496           3,274.8           2,464.0       1,056          809,888          21,855.7  fgets                 
      0.0          4,821,536      1,276           3,778.6           2,592.0       1,024          917,312          25,694.2  recv                  
      0.0          4,282,272        101          42,398.7          29,312.0       8,992          229,568          45,281.5  pthread_rwlock_rdlock 
      0.0          2,215,136        308           7,192.0           2,960.0       1,600           22,080           6,825.8  fread                 
      0.0          1,607,968         12         133,997.3           5,776.0       3,936        1,542,112         443,444.6  backtrace             
      0.0          1,157,248          2         578,624.0         578,624.0     567,776          589,472          15,341.4  posix_spawn           
      0.0            694,400         84           8,266.7           6,448.0       1,312           39,104           8,349.6  shutdown              
      0.0            644,000         95           6,778.9           5,856.0       2,112           22,400           4,633.0  pipe2                 
      0.0            627,328        184           3,409.4           3,136.0       1,824            8,192           1,040.3  sendmsg               
      0.0            351,072        232           1,513.2           1,280.0       1,024           10,816             764.0  fcntl                 
      0.0            318,848        181           1,761.6           1,344.0       1,024           11,904           1,400.5  bind                  
      0.0            231,072          3          77,024.0          78,080.0      73,952           79,040           2,703.4  fallocate             
      0.0            209,120         15          13,941.3           2,208.0       1,024          179,136          45,710.0  waitid                
      0.0            152,640         30           5,088.0           1,184.0       1,024           49,088           9,814.1  pthread_cond_broadcast
      0.0             50,944         15           3,396.3           1,568.0       1,056           16,352           4,409.3  sigaction             
      0.0             26,688         12           2,224.0           1,504.0       1,120            6,144           1,763.3  epoll_ctl             
      0.0             25,888          5           5,177.6           3,808.0       3,200           11,392           3,485.3  accept4               
      0.0             24,896         21           1,185.5           1,088.0       1,024            1,824             194.8  dup                   
      0.0             15,872          8           1,984.0           2,144.0       1,088            2,912             597.4  listen                
      0.0             15,712          5           3,142.4           1,600.0       1,312            9,728           3,685.6  dup2                  
      0.0             13,600          3           4,533.3           5,312.0       1,024            7,264           3,192.0  fflush                
      0.0             11,392          2           5,696.0           5,696.0       4,000            7,392           2,398.5  stat64                
      0.0             10,720          4           2,680.0           2,464.0       1,152            4,640           1,454.1  fstat64               
      0.0             10,432          2           5,216.0           5,216.0       4,320            6,112           1,267.1  stat                  
      0.0             10,144          1          10,144.0          10,144.0      10,144           10,144               0.0  pthread_mutex_trylock 
      0.0              9,024          1           9,024.0           9,024.0       9,024            9,024               0.0  mprotect              
      0.0              8,704          1           8,704.0           8,704.0       8,704            8,704               0.0  pipe                  
      0.0              5,120          2           2,560.0           2,560.0       1,568            3,552           1,402.9  fwrite                
      0.0              4,864          1           4,864.0           4,864.0       4,864            4,864               0.0  fputs_unlocked        
      0.0              3,200          1           3,200.0           3,200.0       3,200            3,200               0.0  openat64              
      0.0              1,632          1           1,632.0           1,632.0       1,632            1,632               0.0  fputs                 
      0.0              1,280          1           1,280.0           1,280.0       1,280            1,280               0.0  prctl                 

Processing [o96_1node_3462325_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)      Med (ns)    Min (ns)   Max (ns)    StdDev (ns)                         Name                      
 --------  ---------------  ---------  ------------  ------------  --------  -----------  ------------  ------------------------------------------------
     90.8  156,417,110,176     27,280   5,733,765.0       6,432.0       960  490,252,928  33,839,462.0  cudaStreamSynchronize                           
      3.8    6,578,866,848    625,698      10,514.4       8,576.0     1,920   47,350,400     131,506.9  cudaLaunchKernel                                
      1.5    2,526,497,376     90,398      27,948.6       7,840.0     1,440  129,438,528     958,543.9  cudaMemcpyAsync                                 
      1.0    1,711,510,880         43  39,802,578.6  27,305,088.0    12,288  143,583,808  36,721,903.8  cudaHostAlloc                                   
      0.6    1,113,875,840     90,278      12,338.3       9,280.0     4,000   55,981,440     210,755.5  cuLaunchKernelEx                                
      0.5      893,081,024    109,232       8,176.0       6,880.0       128   25,105,728      90,868.1  cudaMemsetAsync                                 
      0.4      701,884,192    394,191       1,780.6       1,728.0       352      244,832       1,591.2  cudaEventQuery                                  
      0.2      370,892,000        168   2,207,690.5     259,776.0     5,728   62,313,920   6,504,590.8  cudaMalloc                                      
      0.2      347,299,456         92   3,774,994.1   2,248,944.0    48,928   67,048,832   8,350,185.0  cuMemExportToShareableHandle                    
      0.2      272,678,944    146,648       1,859.4       1,760.0       288      207,808       1,850.9  cudaEventRecord                                 
      0.1      252,344,544        481     524,624.8      82,976.0    38,016   81,476,896   4,630,797.0  cuMemSetAccess                                  
      0.1      132,669,184         26   5,102,660.9     598,320.0    21,888  107,336,928  20,881,561.2  cuLibraryLoadData                               
      0.1      119,775,264     84,240       1,421.8       1,376.0       352      135,104       1,606.5  cudaStreamWaitEvent                             
      0.1      118,757,056     61,428       1,933.3       1,632.0       192      531,136       4,386.7  cudaEventCreateWithFlags                        
      0.1      100,733,600      7,681      13,114.6      11,072.0     5,504    6,878,464      78,484.7  cudaLaunchKernelExC_v11060                      
      0.1       99,435,328         92   1,080,818.8     249,712.0    56,192   30,938,688   3,635,476.2  cuMemImportFromShareableHandle                  
      0.0       82,046,976        128     640,992.0       3,968.0     2,048   74,504,352   6,580,956.1  cudaStreamCreateWithPriority                    
      0.0       80,191,776      2,418      33,164.5       3,296.0       608   63,195,648   1,288,058.2  cuKernelGetFunction                             
      0.0       72,967,552        481     151,699.7      73,440.0    33,856    3,444,960     367,525.6  cuMemUnmap                                      
      0.0       61,596,448         95     648,383.7     299,360.0     1,856    3,549,792     769,819.0  cudaFree                                        
      0.0       58,949,472     61,094         964.9         768.0       224       67,200       1,140.1  cudaEventDestroy                                
      0.0       34,738,400      2,418      14,366.6      13,920.0     6,112       81,440       4,558.9  cuLaunchKernel                                  
      0.0       34,612,192    180,556         191.7         160.0        32       66,176         364.6  cuKernelGetAttribute                            
      0.0       31,196,128        962      32,428.4       6,304.0        32    3,421,568     149,184.6  cuMemRelease                                    
      0.0       29,367,968     29,776         986.3         672.0       160    2,318,336      13,479.1  cudaStreamIsCapturing_v10000                    
      0.0       23,996,992        389      61,688.9      37,120.0    23,072    1,860,320      99,102.4  cuMemCreate                                     
      0.0       23,337,152          9   2,593,016.9      33,472.0     4,512   22,992,832   7,650,141.5  cudaStreamCreateWithFlags                       
      0.0       16,810,240        481      34,948.5      11,104.0     1,888      338,208      46,753.9  cuMemMap                                        
      0.0        8,959,008      7,681       1,166.4         992.0       480       17,696         621.8  cudaStreamGetCaptureInfo_v2_v11030              
      0.0        1,330,784        481       2,766.7       2,304.0       928       23,648       2,363.3  cuMemAddressReserve                             
      0.0        1,025,920        481       2,132.9       1,760.0       768       20,640       1,962.2  cuMemAddressFree                                
      0.0        1,017,792      2,144         474.7         384.0       128        8,256         429.3  cudaThreadExchangeStreamCaptureMode_v10010      
      0.0          593,920        481       1,234.8         864.0       288       15,680       1,340.7  cuMemRetainAllocationHandle                     
      0.0          348,128        124       2,807.5       2,640.0       480       18,464       2,457.3  cudaEventSynchronize                            
      0.0          343,008          6      57,168.0      49,984.0    42,272       96,256      19,794.3  cudaFreeHost                                    
