JobId,Nodes,GPUs,Epochs,Steps per Epoch,Slurm Total Time (s),Slurm Total Time (s) Scaling Time,Slurm Total Time (s) Scaling Overheads %,Total Node Hours (h),Job Start Time,Job End Time,Total Job Time,Job Training Start Time,Job Training Time,Training setup time,Epoch 0 Time,Epoch 0 Ideal Scaling Time,Epoch 0 Scaling Overheads %,Epoch 1 Time,Epoch 1 Ideal Scaling Time,Epoch 1 Scaling Overheads %,Epoch 1 train_weighted_mse_loss_step,Epoch 1 val_weighted_mse_loss_step,Epoch 1 val_weighted_mse_loss_epoch=0.069,Epoch 1 train_weighted_mse_loss_epoch,Comment
1564877,1,4,2,16064,33444.00 ,33444.00 , -   ,9.29,19/11/2025 18:02,20/11/2025 03:19,33416,19/11/2025 18:03,33384,32,"16,473.00","16,473.00", -   ,"16,671.00","16,671.00", -   ,0.00347,0.00409,0.00409,0.00438,
1569526,2,8,2,8032,18728.00 ,16722.00 ,0.12,10.4,21/11/2025 10:00,21/11/2025 15:12,18699,21/11/2025 10:01,18663,36,"9,218.00","8,236.50",0.12,"9,299.00","8,335.50",0.12,0.00436,0.0034,0.00427,0.00451,
1569539,8,32,2,2008,5692.00 ,4181.00 ,0.36,12.65,21/11/2025 10:14,21/11/2025 11:48,5662,21/11/2025 10:15,5624,38,"2,769.00","2,059.13",0.34,"2,794.00","2,083.88",0.34,0.00567,0.00581,0.00583,0.00698,
1569550,10,40,2,1600,4875.00 ,3344.00 ,0.46,13.54,21/11/2025 10:18,21/11/2025 11:39,4852,21/11/2025 10:19,4809,43,"2,445.00","1,647.30",0.48,"2,274.00","1,667.10",0.36,0.00694,0.00661,0.00722,0.00861,
1615991,25,100,2,640,1943.00 ,1338.00 ,0.45,13.49,25/11/2025 11:56,25/11/2025 12:28,1906,25/11/2025 11:57,1847,59,905,658.92,0.37,911,666.84,0.37,0.0197,0.0204,0.0203,0.0244,
1616031,50,200,2,320,1115.00 ,669.00 ,0.67,15.49,25/11/2025 12:03,25/11/2025 12:21,1077,25/11/2025 12:04,1000,77,452,329.46,0.37,530,333.42,0.59,0.0304,0.0318,0.0321,0.0406,
1616210,100,400,2,160,669.00 ,334.00 ,1,18.58,25/11/2025 13:01,25/11/2025 13:12,630,25/11/2025 13:03,513,117,233,164.73,0.41,264,166.71,0.58,,,,,No validation. Not enough data? Batch size too big?
1616250,200,800,2,80,642.00 ,167.00 ,2.84,35.67,25/11/2025 13:20,25/11/2025 13:30,601,25/11/2025 13:25,312,289,145,82.37,0.76,159,83.36,0.91,,,,,No validation. Not enough data? Batch size too big?
