JobId,Nodes,GPUs,Epochs,Steps per Epoch,Slurm Total Time (s),Total Node Hours (h),Job Start Time,Job End Time,Total Job Time,Job Training Start Time,Job Training Time,Training setup time,Time,train_weighted_mse_loss_step,val_weighted_mse_loss_step,val_weighted_mse_loss_epoch,train_weighted_mse_loss_epoch,Comment
1441390,1,4,2,2008,4239,1.18,29/10/2025 11:40,29/10/2025 12:50,4212,29/10/2025 11:40,4189,23,2128,0.0061,0.0065,0.0064,0.0075,
1401302,10,40,2,200,568,1.58,23/10/2025 15:24,23/10/2025 15:33,540,23/10/2025 15:24,515,25,260,0.0349,0.0359,0.0356,0.0461,
1441181,50,200,2,40,254,3.53,29/10/2025 09:53,29/10/2025 09:57,219,29/10/2025 09:54,138,81,72,0.0626,0.0684,0.069,0.0658,
1441194,100,400,2,24,244,6.78,29/10/2025 10:01,29/10/2025 10:04,214,29/10/2025 10:03,82,132,41,0.0595,NA,NA,0.0728,No validation. Not enough data? Batch size too big?
1441206,200,800,2,16,420,23.33,29/10/2025 10:09,29/10/2025 10:15,392,29/10/2025 10:14,117,275,30,0.0722,NA,NA,0.0939,No validation. Not enough data? Batch size too big?
1441217,500,2000,2,8,1170,162.5,29/10/2025 10:19,29/10/2025 10:38,1129,29/10/2025 10:36,129,1000,51,0.125,NA,NA,0.326,No validation. Not enough data? Batch size too big?
