,name,total_time,n_calls,avg_time,category
54,run_training_epoch,197.61645,1,197.61645,run_training_epoch
50,run_training_batch,196.43401,200,0.98217,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02148,200,0.00011,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.84012,6,0.14002,_EvaluationLoop
37,[Strategy]DDPGroupStrategy.training_step,52.43991,200,0.2622,Strategy
45,[Strategy]DDPGroupStrategy.backward,142.29306,200,0.71147,Strategy
17,[Strategy]DDPGroupStrategy.batch_to_device,0.40183,206,0.00195,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,2.0443,6,0.34072,Strategy
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.12588,200,0.00063,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,196.28963,200,0.98145,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.10943,200,0.00055,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00313,200,2e-05,LightningModule
3,[LightningModule]GraphForecaster.setup,1e-05,1,1e-05,LightningModule
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.05105,206,0.00025,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00187,1,0.00187,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00074,1,0.00074,LightningModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
57,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,4,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00058,1,0.00058,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.2905,1,0.2905,LightningDataModule
0,*Callback_AnemoiCheckpoint,13.98169,2460,13.82547,*Callback_AnemoiCheckpoint
