Generating SQLite file o96_1node_3323392_nsys_rank0.sqlite from o96_1node_3323392_nsys_rank0.nsys-rep
Processing [o96_1node_3323392_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)       Min (ns)      Max (ns)      StdDev (ns)    Style                Range             
 --------  ---------------  ---------  ---------------  ---------------  -----------  -------------  -------------  -------  -------------------------------
     57.6  206,217,461,632        200  1,031,087,308.2  1,016,765,392.0  996,246,016  1,511,562,144   71,031,845.0  PushPop  :step                          
     41.2  147,491,889,152        200    737,459,445.8    734,893,104.0  723,728,480    992,624,512   22,079,121.6  PushPop  :backward                      
      0.7    2,516,097,664        200     12,580,488.3      8,947,536.0    7,306,560    346,381,856   31,625,696.5  PushPop  :optimizer                     
      0.3    1,002,982,400          3    334,327,466.7    394,873,568.0  164,718,912    443,389,920  148,874,965.9  PushPop  NCCL:ncclCommDestroy           
      0.1      354,432,832      4,024         88,079.7         71,504.0        6,368     22,720,544      467,392.8  PushPop  CCCL:cub::DeviceRadixSort      
      0.1      260,152,992      6,263         41,538.1         38,272.0       16,320        472,896       13,024.4  PushPop  NCCL:ncclAllReduce             
      0.0      125,749,952      5,676         22,154.7         19,584.0       11,456        207,264        8,760.2  PushPop  CCCL:cub::DeviceReduce::Sum    
      0.0      105,133,344      5,676         18,522.4         14,880.0       10,112      1,023,552       18,505.1  PushPop  CCCL:cub::DeviceSelect::Flagged
      0.0       61,750,976          2     30,875,488.0     30,875,488.0    1,443,328     60,307,648   41,623,359.8  PushPop  cuBLAS:cublasCreate_v2         
      0.0       58,288,320      1,418         41,106.0         32,144.0        1,632      4,919,936      131,735.5  PushPop  NCCL:ncclBroadcast             
      0.0       34,380,032      1,624         21,170.0         18,880.0        9,216      3,176,800       78,652.7  PushPop  CCCL:cub::DeviceSelect::Unique 
      0.0        1,568,160          3        522,720.0        541,440.0      464,224        562,496       51,741.4  PushPop  NCCL:ncclCommFinalize          
      0.0          593,600          1        593,600.0        593,600.0      593,600        593,600            0.0  PushPop  NCCL:ncclCommInitRankConfig    
      0.0           45,888          1         45,888.0         45,888.0       45,888         45,888            0.0  PushPop  NCCL:ncclAllGather             

Processing [o96_1node_3323392_nsys_rank0.sqlite] with [/opt/nvidia/hpc_sdk/Linux_aarch64/24.11/profilers/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls      Avg (ns)          Med (ns)       Min (ns)      Max (ns)        StdDev (ns)              Name         
 --------  -----------------  ---------  ----------------  ----------------  ----------  ---------------  ----------------  ----------------------
     35.9  3,684,017,582,016        437   8,430,246,183.1   2,448,912,832.0      15,200  231,173,581,920  30,573,789,605.8  sem_wait              
     23.1  2,371,987,667,776        550   4,312,704,850.5     298,695,568.0       3,424  234,148,627,648  24,332,525,407.2  pthread_cond_wait     
     20.4  2,093,419,471,072      5,952     351,716,981.0     500,348,080.0       1,056    5,005,359,392     497,112,827.5  poll                  
     13.7  1,404,611,483,616      9,390     149,585,887.5     100,076,768.0       1,024  237,266,292,384   4,178,680,885.9  pthread_cond_timedwait
      2.3    237,902,380,032         22  10,813,744,546.9          92,848.0      12,512  237,807,039,744  50,699,664,673.4  epoll_wait            
      2.3    234,057,761,856         41   5,708,725,898.9  10,000,397,856.0      13,952   10,000,466,016   4,920,254,237.8  sem_timedwait         
      1.9    192,863,029,024        415     464,730,190.4         121,856.0       1,024    6,407,256,768   1,337,522,974.0  futex                 
      0.1     10,967,563,840     10,866       1,009,346.9         187,632.0       1,536    3,050,832,672      34,513,819.7  open64                
      0.1      8,715,056,736      8,336       1,045,472.3          37,520.0       1,024    1,312,335,904      16,249,860.5  ioctl                 
      0.0      4,082,215,904     75,597          53,999.7          53,920.0       5,568        1,459,328           5,481.1  usleep                
      0.0      3,977,810,368      1,915       2,077,185.6       2,053,856.0   2,026,528       10,059,360         390,158.9  nanosleep             
      0.0      2,552,149,888         12     212,679,157.3     144,326,352.0       2,656      501,704,576     216,640,387.4  sendfile64            
      0.0      2,333,104,512     23,257         100,318.4          20,992.0       1,024       10,334,432         225,917.3  read                  
      0.0      2,106,612,960      2,143         983,020.5           5,024.0       1,024      407,758,400      18,096,664.0  write                 
      0.0      1,947,651,840     24,950          78,062.2           1,856.0       1,344    1,854,969,632      11,745,791.8  accept                
      0.0      1,824,978,176     16,752         108,940.9           3,712.0       1,984       12,906,112         873,308.2  munmap                
      0.0      1,062,602,848        314       3,384,085.5          13,808.0       1,024      123,332,960      14,428,389.0  pthread_mutex_lock    
      0.0        969,788,192         58      16,720,486.1         473,216.0       8,320      430,307,360      76,248,502.0  pthread_join          
      0.0        893,314,560        793       1,126,500.1         703,648.0       4,864       20,236,416       1,904,166.9  writev                
      0.0        365,290,112      7,096          51,478.3           1,248.0       1,024      239,654,016       3,145,395.5  fclose                
      0.0        261,560,512         24      10,898,354.7       9,981,728.0   8,427,040       16,342,400       2,356,782.1  fork                  
      0.0        192,959,072        109       1,770,266.7          57,472.0       2,272       24,991,488       5,533,689.6  pthread_rwlock_wrlock 
      0.0         81,161,504     16,929           4,794.2           3,360.0       1,696           86,784           4,495.7  mmap64                
