,name,total_time,n_calls,avg_time,category
54,run_training_epoch,207.72045,1,207.72045,run_training_epoch
50,run_training_batch,205.98492,200,1.02992,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02826,200,0.00014,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.61898,6,0.10316,_EvaluationLoop
37,[Strategy]DDPGroupStrategy.training_step,55.09551,200,0.27548,Strategy
45,[Strategy]DDPGroupStrategy.backward,148.21951,200,0.7411,Strategy
17,[Strategy]DDPGroupStrategy.batch_to_device,1.11218,206,0.0054,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,2.44888,6,0.40815,Strategy
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.25944,200,0.0013,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,205.65682,200,1.02828,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.12688,200,0.00063,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00459,200,2e-05,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.03097,206,0.00015,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00242,1,0.00242,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00088,1,0.00088,LightningModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
57,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,4,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00052,1,0.00052,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.35383,1,0.35383,LightningDataModule
0,*Callback_AnemoiCheckpoint,19.66963,2460,19.42795,*Callback_AnemoiCheckpoint
