,name,total_time,n_calls,avg_time,category
54,run_training_epoch,197.55881,1,197.55881,run_training_epoch
50,run_training_batch,196.38007,200,0.9819,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02111,200,0.00011,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.70947,6,0.11824,_EvaluationLoop
37,[Strategy]DDPGroupStrategy.training_step,52.46459,200,0.26232,Strategy
45,[Strategy]DDPGroupStrategy.backward,142.23792,200,0.71119,Strategy
17,[Strategy]DDPGroupStrategy.batch_to_device,0.39587,206,0.00192,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,2.07725,6,0.34621,Strategy
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.12723,200,0.00064,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,196.23768,200,0.98119,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.10668,200,0.00053,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00304,200,2e-05,LightningModule
3,[LightningModule]GraphForecaster.setup,1e-05,1,1e-05,LightningModule
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.05125,206,0.00025,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.0022,1,0.0022,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00077,1,0.00077,LightningModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
57,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,4,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00057,1,0.00057,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.27086,1,0.27086,LightningDataModule
0,*Callback_AnemoiCheckpoint,11.52124,2460,11.37358,*Callback_AnemoiCheckpoint
