,name,total_time,n_calls,avg_time,category
57,run_training_epoch,99.13159,1,99.13159,run_training_epoch
50,run_training_batch,89.07367,80,1.11342,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.01014,80,0.00013,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.42464,14,0.03033,_EvaluationLoop
17,[Strategy]DDPGroupStrategy.batch_to_device,0.20127,94,0.00214,Strategy
45,[Strategy]DDPGroupStrategy.backward,61.25976,80,0.76575,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,3.0077,14,0.21484,Strategy
37,[Strategy]DDPGroupStrategy.training_step,25.4141,80,0.31768,Strategy
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.01257,94,0.00013,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00479,2,0.0024,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.0551,80,0.00069,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.04541,80,0.00057,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,89.0142,80,1.11268,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00078,1,0.00078,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00135,80,2e-05,LightningModule
54,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,3,0.0,LightningDataModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.0005,1,0.0005,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.26577,1,0.26577,LightningDataModule
0,*Callback_AnemoiCheckpoint,9.69286,1058,5.7007,*Callback_AnemoiCheckpoint
