,name,total_time,n_calls,avg_time,category
54,run_training_epoch,197.18034,1,197.18034,run_training_epoch
50,run_training_batch,195.99108,200,0.97996,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02136,200,0.00011,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.91414,6,0.15236,_EvaluationLoop
37,[Strategy]DDPGroupStrategy.training_step,52.1702,200,0.26085,Strategy
45,[Strategy]DDPGroupStrategy.backward,142.15881,200,0.71079,Strategy
17,[Strategy]DDPGroupStrategy.batch_to_device,0.39766,206,0.00193,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,2.013,6,0.3355,Strategy
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.12353,200,0.00062,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,195.84563,200,0.97923,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.10214,200,0.00051,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00301,200,2e-05,LightningModule
3,[LightningModule]GraphForecaster.setup,1e-05,1,1e-05,LightningModule
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.0516,206,0.00025,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00232,1,0.00232,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00084,1,0.00084,LightningModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
57,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,4,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00054,1,0.00054,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.26963,1,0.26963,LightningDataModule
0,*Callback_AnemoiCheckpoint,10.9164,2460,10.77098,*Callback_AnemoiCheckpoint
